date,total_clones,unique_clones
2022-10-09,1,1
2022-10-10,0,0
2022-10-11,0,0
2022-10-12,5,4
2022-10-13,0,0
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,1,1
2022-10-18,0,0
2022-10-19,6,5
2022-10-20,1,1
2022-10-21,2,2
2022-10-22,5,3
2022-10-23,4,3
2022-10-24,4,3
2022-10-25,5,4
2022-10-26,1,1
2022-10-27,1,1
2022-10-28,2,2
2022-10-29,1,1
2022-10-30,4,3
2022-10-31,2,1
2022-11-01,3,2
2022-11-02,2,2
2022-11-03,1,1
2022-11-04,2,2
2022-11-05,1,1
2022-11-06,1,1
2022-11-07,2,2
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,6,5
2022-11-11,1,1
2022-11-12,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,1,1
2022-11-18,1,1
2022-11-19,1,1
2022-11-20,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-26,1,1
2022-11-27,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-11-30,0,0
