date,total_views,unique_views
2022-10-06,1,1
2022-10-07,0,0
2022-10-08,1,1
2022-10-09,2,1
2022-10-10,18,5
2022-10-11,3,1
2022-10-12,4,1
2022-10-13,6,2
2022-10-14,5,2
2022-10-15,6,2
2022-10-16,0,0
2022-10-17,35,6
2022-10-18,5,2
2022-10-19,27,2
2022-10-20,10,1
2022-10-21,1,1
2022-10-22,9,1
2022-10-23,0,0
2022-10-24,0,0
2022-10-25,15,1
2022-10-26,1,1
2022-10-27,9,2
2022-10-28,0,0
2022-10-29,0,0
2022-10-30,0,0
2022-10-31,2,2
2022-11-01,0,0
2022-11-02,17,4
2022-11-03,2,2
2022-11-04,2,2
2022-11-05,0,0
2022-11-06,6,3
2022-11-07,0,0
